,ticker,entry_date,exit_date,position,entry_price,exit_price,pnl,return_pct
0,AAPL,2023-02-14T00:00:00-05:00,2023-03-03T00:00:00-05:00,1,151.67044067382812,149.52210998535156,-2.1483306884765625,-1.4164465263845396
1,AAPL,2023-03-03T00:00:00-05:00,2023-03-15T00:00:00-04:00,1,149.52210998535156,151.4625244140625,1.9404144287109375,1.2977441455989598
2,AAPL,2023-03-15T00:00:00-04:00,2023-03-16T00:00:00-04:00,1,151.4625244140625,154.2939910888672,2.8314666748046875,1.869417326667639
3,AAPL,2023-03-16T00:00:00-04:00,2023-03-17T00:00:00-04:00,1,154.2939910888672,153.4524688720703,-0.841522216796875,-0.5454018078462898
4,AAPL,2023-03-17T00:00:00-04:00,2023-08-03T00:00:00-04:00,1,153.4524688720703,189.52313232421875,36.07066345214844,23.50608218771618
5,AAPL,2023-08-03T00:00:00-04:00,2023-08-04T00:00:00-04:00,1,189.52313232421875,180.42221069335938,-9.100921630859375,-4.802010983699001
6,AAPL,2023-08-04T00:00:00-04:00,2023-08-07T00:00:00-04:00,1,180.42221069335938,177.30926513671875,-3.112945556640625,-1.7253671511271422
7,AAPL,2023-08-07T00:00:00-04:00,2023-09-06T00:00:00-04:00,1,177.30926513671875,181.5791473388672,4.2698822021484375,2.4081551513148725
8,AAPL,2023-09-06T00:00:00-04:00,2023-09-18T00:00:00-04:00,1,181.5791473388672,176.67510986328125,-4.9040374755859375,-2.700771287593894
9,AAPL,2023-09-18T00:00:00-04:00,2023-09-19T00:00:00-04:00,-1,176.67510986328125,177.76712036132812,-1.092010498046875,-0.6180896102976359
10,AAPL,2023-09-19T00:00:00-04:00,2023-09-20T00:00:00-04:00,-1,177.76712036132812,174.213134765625,3.553985595703125,1.999236747762646
11,AAPL,2023-09-20T00:00:00-04:00,2023-09-21T00:00:00-04:00,-1,174.213134765625,172.6644744873047,1.5486602783203125,0.8889457619850416
12,AAPL,2023-09-21T00:00:00-04:00,2023-09-22T00:00:00-04:00,-1,172.6644744873047,173.51824951171875,-0.8537750244140625,-0.4944705776617859
13,AAPL,2023-09-22T00:00:00-04:00,2023-09-25T00:00:00-04:00,-1,173.51824951171875,174.79885864257812,-1.280609130859375,-0.7380256165925
