date,ticker,value
2023-01-03 00:00:00-05:00,AAPL,100000.0
2023-01-03 00:00:00-05:00,GOOGL,100000.0
2023-01-03 00:00:00-05:00,MSFT,100000.0
2023-01-04 00:00:00-05:00,AAPL,100000.0
2023-01-04 00:00:00-05:00,GOOGL,100000.0
2023-01-04 00:00:00-05:00,MSFT,100000.0
2023-01-05 00:00:00-05:00,AAPL,100000.0
2023-01-05 00:00:00-05:00,GOOGL,100000.0
2023-01-05 00:00:00-05:00,MSFT,100000.0
2023-01-06 00:00:00-05:00,AAPL,100000.0
2023-01-06 00:00:00-05:00,GOOGL,100000.0
2023-01-06 00:00:00-05:00,MSFT,100000.0
2023-01-09 00:00:00-05:00,AAPL,100000.0
2023-01-09 00:00:00-05:00,GOOGL,100000.0
2023-01-09 00:00:00-05:00,MSFT,100000.0
2023-01-10 00:00:00-05:00,AAPL,100000.0
2023-01-10 00:00:00-05:00,GOOGL,100000.0
2023-01-10 00:00:00-05:00,MSFT,100000.0
2023-01-11 00:00:00-05:00,AAPL,100000.0
2023-01-11 00:00:00-05:00,GOOGL,100000.0
2023-01-11 00:00:00-05:00,MSFT,100000.0
2023-01-12 00:00:00-05:00,AAPL,100000.0
2023-01-12 00:00:00-05:00,GOOGL,100000.0
2023-01-12 00:00:00-05:00,MSFT,100000.0
2023-01-13 00:00:00-05:00,AAPL,100000.0
2023-01-13 00:00:00-05:00,GOOGL,100000.0
2023-01-13 00:00:00-05:00,MSFT,100000.0
2023-01-17 00:00:00-05:00,AAPL,100000.0
2023-01-17 00:00:00-05:00,GOOGL,100000.0
2023-01-17 00:00:00-05:00,MSFT,100000.0
2023-01-18 00:00:00-05:00,AAPL,100000.0
2023-01-18 00:00:00-05:00,GOOGL,100000.0
2023-01-18 00:00:00-05:00,MSFT,100000.0
2023-01-19 00:00:00-05:00,AAPL,100000.0
2023-01-19 00:00:00-05:00,GOOGL,100000.0
2023-01-19 00:00:00-05:00,MSFT,100000.0
2023-01-20 00:00:00-05:00,AAPL,100000.0
2023-01-20 00:00:00-05:00,GOOGL,100000.0
2023-01-20 00:00:00-05:00,MSFT,100000.0
2023-01-23 00:00:00-05:00,AAPL,100000.0
2023-01-23 00:00:00-05:00,GOOGL,100000.0
2023-01-23 00:00:00-05:00,MSFT,100000.0
2023-01-24 00:00:00-05:00,AAPL,100000.0
2023-01-24 00:00:00-05:00,GOOGL,100000.0
2023-01-24 00:00:00-05:00,MSFT,100000.0
2023-01-25 00:00:00-05:00,AAPL,100000.0
2023-01-25 00:00:00-05:00,GOOGL,100000.0
2023-01-25 00:00:00-05:00,MSFT,100000.0
2023-01-26 00:00:00-05:00,AAPL,100000.0
2023-01-26 00:00:00-05:00,GOOGL,100000.0
2023-01-26 00:00:00-05:00,MSFT,100000.0
2023-01-27 00:00:00-05:00,AAPL,100000.0
2023-01-27 00:00:00-05:00,GOOGL,100000.0
2023-01-27 00:00:00-05:00,MSFT,100000.0
2023-01-30 00:00:00-05:00,AAPL,100000.0
2023-01-30 00:00:00-05:00,GOOGL,100000.0
